ProviderName,TIN,AOC,Clinic_Name,Clinic_Address,Clinic_Type,Notes
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,1760 E PECOS RD STE 516 GILBERT AZ 85295,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,2055 W FRYE RD STE 9 CHANDLER AZ 85224,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,21300 N JOHN WAYNE PKWY STE 121 MARICOPA AZ 85139,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,37100 N GANTZEL RD STE 106 SAN TAN VALLEY AZ 85140,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,5171 CUB LAKE RD STE 340 BLD C SHOW LOW AZ 85901,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,5656 S POWER RD STE 137 GILBERT AZ 85295,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,6320 W UNION HILLS DR STE 100 GLENDALE AZ 85308,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,7342 E THOMAS RD STE 105 SCOTTSDALE AZ 85251,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,8410 W THOMAS RD STE 134 PHOENIX AZ 85037,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,9897 W MCDOWELL RD STE 320 TOLLESON AZ 85353,Other,
NICHOLAS BUJAK MD PLLC,472936650,ADULT PCP,WEST VALLEY OBGYN,4338 W THOMAS ROAD PHOENIX AZ 85031,Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,107 E OAK AVE STE 101 & 201 FLAGSTAFF AZ 86001,Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,"1215 NORTH BEAVER STREET, SUITE 203 FLAGSTAFF, AZ 86001",Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,1298 W FINNIE FLAT RD STE 101 CAMP VERDE AZ 86322,Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,"340 SOUTH WILLARD STREET, SUITES 101 & 201 COTTONWOOD, AZ 86326",Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,"3700 WEST HIGHWAY 89A, SUITE B SEDONA, AZ 86336",Other,
NORTHERN ARIZONA HEALTHCARE,742410946,ADULT PCP,NORTHERN AZ HEALTHCARE CO,"61 BELL ROCK PLAZA, SUITE A SEDONA, AZ 86351",Other,
PAPER CRANES HEALTHCARE LLC,813084282,ADULT PCP,PAPER CRANES HEALTHCARE L,5980 S COOPER RD STE 1 CHANDLER AZ 85249,Other,
PARTNERS IN RECOVERY LLC,264681471,ADULT PCP,PARTNERS IN RECOVERY LLC,5222 E BASELINE RD STE 101-102 GILBERT AZ 85234,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,10440 E RIGGS RD STE 209 SUN LAKES AZ 85248,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,10720 E SOUTHERN AVE STE 116 MESA AZ 85209,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,1343 N ALMA SCHOOL RD STE 205 CHANDLER AZ 85224,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,13943 N 91ST AVE BLDG E PEORIA AZ 85381,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,14825 E SHEA BLVD STE 105A FOUNTAIN HILLS AZ 85268,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,16515 S 40TH ST STE 139 PHOENIX AZ 85048,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,2228 W NORTHERN AVE STE B202 PHOENIX AZ 85021,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,2330 N 75TH AVE STE 108 PHOENIX AZ 85035,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,275 E COTTONWOOD LN STE 2-3 CASA GRANDE AZ 85122,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,3336 E CHANDLER HEIGHTS RD STE 119 GILBERT AZ 85298,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,515 W BUCKEYE RD STE 303 PHOENIX AZ 85003,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,5520 E MAIN ST STE 4 MESA AZ 85205,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,606 N COUNTRY CLUB DR STE 1 MESA AZ 85201,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,6677 W THUNDERBIRD RD STE C142 GLENDALE AZ 85306,Other,
PHOENICIAN MEDICAL CENTER INC,860854458,ADULT PCP,PHOENICIAN MEDICAL CENTER,875 N GREENFIELD RD STE 105 GILBERT AZ 85234,Other,
PHOENIX FAMILY MEDICAL CARE,263892032,ADULT PCP,PHOENIX FAMILY MED CARE,1002 E MCDOWELL RD STE A PHOENIX AZ 85006,Other,
PINNACLE FAMILY MEDICINE PLC,208404749,ADULT PCP,PINNACLE FAMILY MEDICINE,14044 W CAMELBACK RD STE 204 LITCHFIELD PARK AZ 85340,Other,
PINNACLE FAMILY MEDICINE PLC,208404749,ADULT PCP,PINNACLE FAMILY MEDICINE,21753 N 77TH AVE PEORIA AZ 85382,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,1300 S 20TH AVE SAFFORD AZ 85546,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,18301 N 79TH AVE STE G190 GLENDALE AZ 85308,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,21321 E OCOTILLO RD STE 133 QUEEN CREEK AZ 85142,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,26224 N TATUM BLVD STE 15A PHOENIX AZ 85050,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,286 S LENZNER AVE STE A SIERRA VISTA AZ 85635,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,3151 N WINDSONG DR PRESCOTT VALLEY AZ 86314,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,3257 N WINDSONG DR PRESCOTT VALLEY AZ 86314,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,3336 E CHANDLER HEIGHTS RD STE 132 GILBERT AZ 85298,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,4365 E PECOS RD STE 134 GILBERT AZ 85295,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,450 S WILLARD ST STE 103 COTTONWOOD AZ 86326,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,560 N CAMINO MERCADO STE 7 CASA GRANDE AZ 85122,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,5902 E PIMA ST TUCSON AZ 85712,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,5981 E GRANT RD STE 115 TUCSON AZ 85712,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL,743 MILLER VALLEY RD PRESCOTT AZ 86301,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - ARROWHEAD,18275 N 59TH AVE STE 138 GLENDALE AZ 85308,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - BULLHEAD CITY,"2500 CANYON RD SUITE A1 BULLHEAD CITY, AZ 86442",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - CHINO VALLEY,"87 STATE ROUTE 89 CHINO VALLEY, AZ 86323",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - COTTONWOOD,"450 SOUTH WILLARD ST STE 103 COTTONWOOD, AZ 86326",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - DEWEY,"12075 E STATE ROUTE 69 STE B DEWEY, AZ 86327",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - DOWNTOWN GILBERT,725 W ELLIOT RD STE 105 GILBERT AZ 85233,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - GLENDALE,"7725 N 43RD AVE STE 510 PHOENIX, AZ 85051",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - LAVEEN,3552 W BASELINE RD STE 140 LAVEEN AZ 85339,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - MESA,4135 S POWER RD STE 129 MESA AZ 85212,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - NORTH TUCSON,2171 W ORANGE GROVE RD TUCSON AZ 85704,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - PEORIA,"9171 WEST THUNDERBIRD ROAD SUITE 101 PEORIA, AZ 85381",Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - PRESCOTT VALLEY,3251 N WINDSONG DR PRESCOTT VALLEY AZ 86314,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - SIERRA VISTA,286 S LENZNER AVE SIERRA VISTA AZ 85635,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - SOUTH BULLHEAD CITY,3015 HWY 95 STE 105 BULLHEAD CITY AZ 86442,Other,
PRESCOTT HEALTHCARE SOLUTIONS,811039174,ADULT PCP,OPTIMA MEDICAL - SURPRISE,16928 W BELL RD STE 701 SURPRISE AZ 85375,Other,
RAJIV PARIKH MD PC,860986198,ADULT PCP,RAJIV PARIKH MD PC,1964 E BASELINE RD STE 103 TEMPE AZ 85283,Other,
RODD AKING MD LLC dba TRINITY INTEGRATED MEDICINE,205081945,ADULT PCP,TRINITY INTEGRATED MEDICI,5251 W CAMPBELL AVE STE 105 PHOENIX AZ 85031,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,10214 N TATUM BLVD STE A600 PHOENIX AZ 85028,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,2927 N 7TH AVE PHOENIX AZ 85013,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,4545 E CHANDLER BLVD STE 104 PHOENIX AZ 85048,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,500 W THOMAS RD STE 730 PHOENIX AZ 85013,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,500 W THOMAS RD STE 900A PHOENIX AZ 85013,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,DIGNITY HEALTH MEDICAL GR,655 S DOBSON RD STE B113 CHANDLER AZ 85224,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,SJHMC PHYSICIAN SERVICES,20715 E OCOTILLO RD STE 102 QUEEN CREEK AZ 85142,Other,
SJHMC PHYSICIAN SERVICES,651205795,ADULT PCP,SJHMC PHYSICIAN SERVICES,3477 S MERCY RD STE 201 GILBERT AZ 85297,Other,
SOUTHWEST BEHAVIORAL HLTH SRVC,860290033,ADULT PCP,SOUTHWEST BEHAVIORAL HEAL,1515 E CEDAR AVE STE B2-B4 FLAGSTAFF AZ 86004,Other,
SOUTHWEST BEHAVIORAL HLTH SRVC,860290033,ADULT PCP,SOUTHWEST BEHAVIORAL HEAL,1515 E CEDAR AVE STE E-1&E2 FLAGSTAFF AZ 86004,Other,
SOUTHWEST BEHAVIORAL HLTH SRVC,860290033,ADULT PCP,SOUTHWEST BEHAVIORAL HEAL,2215 HUALAPAI MOUNTAIN RD STE E&H&I KINGMAN AZ 86401,Other,
THE FAMILY PRACTICE OF ARIZONA,860429524,ADULT PCP,THE FAMILY PRACTICE OF ARIZONA,"3330 N 2ND STREET, SUITE 400 PHOENIX AZ 85012",Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,10350 E DREXEL RD STE 260 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,10350 E DREXEL RD UNIT 110 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,10390 N LA CANADA DR STE 110 ORO VALLEY AZ 85737,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,2424 N WYATT DR STE 100 TUCSON AZ 85712,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,2840 E SKYLINE DR STE 230 TUCSON AZ 85718,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,5166 E GLENN ST TUCSON AZ 85712,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,5265 E KNIGHT DR TUCSON AZ 85712,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,5301 E GRANT RD TUCSON AZ 85712,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,70 N HARRISON RD TUCSON AZ 85748,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,7340 E SPEEDWAY BLVD STE 104 TUCSON AZ 85710,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,7510 N ORACLE RD STE 100 TUCSON AZ 85704,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,9348 E RITA RD STE 100 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,9348 E RITA RD STE 140 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,9348 E RITA RD STE 180 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,9356 E RITA RD STE 100 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,9356 E RITA RD STE 180 TUCSON AZ 85747,Other,
TMC MEDICAL NETWORK,811156192,ADULT PCP,TMC MEDICAL NETWORK,PO BOX 29072 PHOENIX AZ 85038,Other,
TOTAL MEDICAL CARE LLC,264754722,ADULT PCP,TOTAL MEDICAL CARE,5048 W NORTHERN AVE STE 106 GLENDALE AZ 85301,Other,
"WRIGHT FAMILY MEDICINE,INC",861040206,ADULT PCP,WRIGHTY FAMILY MEDICINE,3800 W RAY RD STE 21 CHANDLER AZ 85226,Other,
