Filename,Class,Name,Reason of classification,The detail reason
601505898.txt,Class 2,HRSN Screening,The document discusses implementing screening for health-related social needs (HRSN) and connecting members seen to Community Based Organizations (CBOs),"The document mentions using a standardized HRSN screening tool, documenting results in the patient's Electronic Health Record (EHR), submitting claims, and developing referral and communication processes with each CBO using the statewide closed-loop referral system (CommunityCares)."
601631873.txt,Others,None,No relevant class found,None of the given criteria match the document content.
601818502.txt,6,Postpartum Depression Screening,"The document discusses screening measures and resources for caregivers and guardians, which is related to postpartum depression.","The document mentions 'post-partum/depression screenings', 'caregivers and guardians', and 'screening measures and resources provided', which matches the criteria of Class 6: Postpartum Depression Screening."
601839058.txt,Others,,,"The given document does not match any of the provided classes' criteria, as it discusses project charters and data collection processes related to health-related social determinants, but none of the specific topics (e.g., CLAS Standards, HRSN Screening, etc.) are directly addressed."
601839059.txt,1,CLAS Standards,Capturing and tracking data related to health-related social determinants of health,"The document discusses the importance of capturing demographic and SDOH indicators, including race, ethnicity, gender identity, and sexual orientation, to evaluate and address health inequities. This aligns with Class 1's criteria for implementing CLAS Standards."
601839060.txt,Class 4: Identify HRSNs,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions risk factors associated with HRSNs.,"The document highlights the importance of capturing race, ethnicity, gender identity, sexual orientation, and preferred language data to evaluate, stratify, and monitor health-related social determinants of health. It also mentions using secondary sources like the Social Vulnerability Index (SVI) to identify underserved populations and elucidate barriers to care."
601855423.txt,Class 2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool",The document mentions 'Implement a process for screening for health-related social needs (HRSN)' which aligns with Class 2 criteria about annual screening and maintaining confidentiality of patient data.
601883187.txt,Class 3,Closed-Loop Referral System,The document describes a project to implement a closed-loop referral system for community resources.,"The text mentions 'Closed loop referral system for community resources' as the TIP 2.0 Process Milestone, which aligns with the criteria for Class 3: Closed-Loop Referral System."
601907322.txt,Class 2,HRSN Screening,The document is related to HRSN screening for all patients.,"The document mentions the current process of providing HRSN screening forms, but not all patients or their families are being screened. It aims to develop a process for screening all WV Pediatrics families for health-related social needs, which aligns with the criteria for Class 2: HRSN Screening."
602061694.txt,Others,Others,No matching class criteria found,"The document discusses project charter, health equity assessment, and NCQA accreditation preparation, which do not match the specific class criteria provided."
602454126.txt,4,Identify HRSNs,Relevant criteria found in the given document.,"The document's project name 'Identify High Risk Social Needs' and description suggest a focus on identifying health-related social needs, which matches Class 4's criteria."
603023349.txt,2,HRSN Screening,Relevance to HRSN screening tool and process improvement,"The document discusses improving the efficacy of HRSN screening in a clinic, enhancing the screening tool, and creating a streamlined process for incorporating results into clinical practice. This directly aligns with the criteria of Class 2: HRSN Screening."
603818404.txt,2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","The given document describes a project charter for implementing a new HRSN screening process to comprehensively assess the overall health needs of clients, which aligns with the criteria for Class 2: HRSN Screening."
603854661.txt,Class 2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document discusses implementing a process for screening for Health Related Social needs and connecting members to services to address needs, which aligns with the criteria for Class 2: HRSN Screening."
603977254.txt,4,Identify HRSNs,Recognizing unmet health-related social needs,"The document mentions 'identify and mitigate risk factors early' and 'foster long-term health and well-being, particularly among underserved and vulnerable populations', which aligns with the criteria for identifying HRSNs."
603977256.txt,4,Identify HRSNs,Mentions strategies for recognizing unmet health-related social needs.,"The document discusses identifying justice involved patients, screening for SDOH, and implementing plans to reduce identified inequities, which aligns with the criteria of classifying and prioritizing HRSNs."
603994613.txt,Class 2: HRSN Screening,HRSN Screening,"The document discusses implementing a HRSN screening tool as part of initial, annual and periodic assessments.","The keywords 'HRSN Screening Tool' and the process to utilize it in the workflow match with Class 2 criteria. The document mentions screening members served by the practice annually using an evidence-based, standardized HRSN screening tool."
604016476.txt,3,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document describes referral processes between healthcare providers and social services, mentioning 'bidirectional communication' with Community-Based Organizations (CBOs) to ensure seamless communication and effective referral processes."
605864356.txt,2,HRSN Screening,Screening for health-related social needs (HRSN) and connecting members to CBOs to address individual social needs.,"The document describes a process for screening for HRSN using the PRAPARE screening tool and making referrals to CBOs, which aligns with the criteria of Class 2: HRSN Screening."
606216374.txt,Closed-Loop Referral System,Closed-Loop Referral System,"Refers to the implementation of a new referral process for West Valley OBGYN, indicating bidirectional communication and tracking mechanisms.","The document mentions implementing a new referral process, enhancing effective engagement and documentation, and improving communication and coordination with health and social service partners. These points align with the criteria of Class 3: Closed-Loop Referral System."
606359582.txt,Class 3: Closed-Loop Referral System,Closed-Loop Referral System,Referral processes and tracking mechanisms,"The document describes a referral system, mentioning the implementation, training, and documentation of referrals through CommunityCares. It also tracks and reviews data on referrals to identify weak spots in the system, which aligns with the criteria for Class 3."
606359583.txt,Others,Unknown Class,No matching criteria found for any class.,"The given document does not mention any specific standards, screenings, referrals, or postpartum depression screening, and the content is more focused on project management and client care."
606406382.txt,Class 2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","The document mentions 'Screening for Health-Related Social Needs (TI Year 2)', indicating a focus on annual screening and assessment of social needs."
606994851.txt,Class 4: Identify HRSNs,Identify HRSNs,"Keywords like 'identifying needs', 'community', and 'health inequities' are relevant to the criteria.","The given document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria of Class 4: Identify HRSNs."
606999758.txt,Others,None,The given document does not match any provided class criteria.,"The document discusses a project charter for culturally responsive substance use screening, which does not directly relate to the provided classes. There is no mention of CLAS Standards, HRSN Screening, Closed-Loop Referral System, identifying HRSNs, engaging caregivers, or postpartum depression screening."
607134602.txt,Others,Others,Does not match any given class criteria,"The document does not contain any information related to the given classes, such as CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identify HRSNs, Engaging Caregivers, or Postpartum Depression Screening. The content is about a project charter for increasing patient outreach and education on identified core HEDIS measures."
639944955.txt,Class 2,HRSN Screening,Implementation of PRAPARE Screening Tool and documenting results in Medical Record,"The document mentions the implementation of a process for screening health-related social needs (HRSN) using an evidenced-based screening tool, which aligns with the criteria of Class 2: HRSN Screening."
639944956.txt,4,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs.,"The project aims to improve engagement clients in the treatment planning process by identifying and addressing Social Determinants of Health (SDOH), which is similar to Identifying HRSNs. The document mentions the need to increase Treatment Plans completed with a goal or objective that addresses SDOH, indicating an effort to recognize unmet health-related social needs."
639944957.txt,Class 6,Postpartum Depression Screening,Screening for postpartum depression and anxiety is mentioned in the document.,"The document describes a project to implement systematic postpartum anxiety & depression screening protocols within Denova virtual and in-office appointments, using validated screening tools and trained behavioral health providers in Perinatal Mental Health."
639944958.txt,Others,None,No relevant class found,"The given document is about improving lab follow-up and does not match the criteria of any of the provided classes. It does not mention screening tools, culturally appropriate services, social referrals, caregiver involvement, or postpartum depression."
639944959.txt,Closed-Loop Referral System,Closed-Loop Referral System,Mentions bidirectional communication and tracking mechanisms for referrals,"The document describes a process to implement a closed-loop referral system, which matches the criteria for Class 3: ""Describes referral processes between healthcare providers and social services. Mentions bidirectional communication between providers and organizations."""
639944960.txt,3,Closed-Loop Referral System,Mentions bidirectional communication and tracking mechanisms for referrals.,"The document discusses paneling patients to PCP services, which involves referral processes between healthcare providers and social services. It also mentions developing and implementing process/procedures to increase access to care and health equity, which aligns with the criteria of a closed-loop referral system."
639944962.txt,Class 3,Closed-Loop Referral System,Referral processes and bidirectional communication between providers and organizations are mentioned.,"The document discusses creating, sending, and receiving referrals for member care, which aligns with the criteria for Closed-Loop Referral System. The mention of UniteUs as a coordinated care network that allows tracking referrals and engaging members also supports this classification."
639944968.txt,Others,Others,No relevant class found,"The given document does not match any of the provided classes, as it is a project charter and does not contain specific criteria related to health-related social needs or services."
