user_id,Topic_Project_A,Reason of classification_A,The detail reason_A,Topic_Project_B,Reason of classification_B,The detail reason_B
111805017,Others,Document does not match the criteria of any given class.,"The document describes a project charter for case management services, including medication management and culturally and linguistically appropriate service standards (CLAS), but it does not mention or relate to any specific criteria provided in the classes. It appears to be an administrative document outlining the goals and objectives of a healthcare-related project.",Not Found,No clear criteria match,"The given document discusses a project charter for addressing housing needs and connecting community members to resources, but it does not mention any specific screening tools, processes, or guidelines related to the provided classes."
111805017,Others,Document does not match the criteria of any given class.,"The document describes a project charter for case management services, including medication management and culturally and linguistically appropriate service standards (CLAS), but it does not mention or relate to any specific criteria provided in the classes. It appears to be an administrative document outlining the goals and objectives of a healthcare-related project.",Others,No matching criteria found in any given class.,"The document discusses a project charter for increasing capacity to identify housing needs and connect community members to resources, which does not match the specific criteria of any given class."
111805017,CLAS Standards,The document discusses culturally and linguistically appropriate service standards for Spanish speaking adolescent clients.,"The project aims to increase access to CLAS-compliant services for Spanish speaking adolescent clients by providing translation services, materials in native language, training and support for both clients and staff. This aligns with the criteria of Class 1, which emphasizes building a culturally and linguistically diverse practice team.",Not Found,No clear criteria match,"The given document discusses a project charter for addressing housing needs and connecting community members to resources, but it does not mention any specific screening tools, processes, or guidelines related to the provided classes."
111805017,CLAS Standards,The document discusses culturally and linguistically appropriate service standards for Spanish speaking adolescent clients.,"The project aims to increase access to CLAS-compliant services for Spanish speaking adolescent clients by providing translation services, materials in native language, training and support for both clients and staff. This aligns with the criteria of Class 1, which emphasizes building a culturally and linguistically diverse practice team.",Others,No matching criteria found in any given class.,"The document discusses a project charter for increasing capacity to identify housing needs and connect community members to resources, which does not match the specific criteria of any given class."
111830169,Others,No relevant class found,"The document discusses project charter, social determinants of health screening/survey, and implementing a standardized process for Touchstone Health Services. However, none of the given classes match this description.",Others,No relevant criteria found in the given document.,"The document discusses a project charter for improving Medicaid client engagement, but it does not mention any specific criteria related to the provided classes such as CLAS Standards, HRSN Screening, Closed-Loop Referral System, etc. It seems to be a general project description and purpose statement."
111855314,HRSN Screening,"The document mentions screening and tracking HRSNs, aligning with the criteria for Class 2.","The text states 'ensure compliance with screening and to track outcomes', which directly relates to the first criterion of Class 2. Additionally, it talks about establishing data tracking for SDOH/HRSN screening upon intake and step down, further supporting this classification.",CLAS Standards,Providing language assistance services,"The document mentions 'notification that describes what communication and language assistance is available, in what languages the assistance is available, and to whom they are available', which aligns with the CLAS Standard criteria of offering language assistance services."
111856692,HRSN Screening,Identifies the use of HRSN screening tool for Z code diagnosis and tracking social determinants of health needs.,"The document mentions the utilization of the HRSN screening tool to identify and add appropriate Z Code diagnoses, which is a key criterion for Class 2: 'HRSN Screening'.",Others,No matching criteria found for the given document.,"The document discusses implementing language competency training for employees, which does not match any of the provided classes. It focuses on employee training and onboarding process rather than patient care or social services."
111856692,HRSN Screening,Identifies the use of HRSN screening tool for Z code diagnosis and tracking social determinants of health needs.,"The document mentions the utilization of the HRSN screening tool to identify and add appropriate Z Code diagnoses, which is a key criterion for Class 2: 'HRSN Screening'.",HRSN Screening,"The document mentions HRSN screening, identifying patient needs, and implementing a change to address access to care issues.","The document's purpose is to increase telehealth appointments for patients who screen positive for transportation needs during their initial HRSN screening. This aligns with the criteria of Class 2, which involves screening members served by the practice annually using an evidence-based, standardized HRSN screening tool."
111856692,HRSN Screening,The document discusses the use of HRSN screening tool for Z code diagnosis.,"The document mentions the utilization of HRSN screening tool to track and stratify social determinants of health needs, including in children and adolescents. This matches the criteria for Class 2: HRSN Screening.",Others,No matching criteria found for the given document.,"The document discusses implementing language competency training for employees, which does not match any of the provided classes. It focuses on employee training and onboarding process rather than patient care or social services."
111856692,HRSN Screening,The document discusses the use of HRSN screening tool for Z code diagnosis.,"The document mentions the utilization of HRSN screening tool to track and stratify social determinants of health needs, including in children and adolescents. This matches the criteria for Class 2: HRSN Screening.",HRSN Screening,"The document mentions HRSN screening, identifying patient needs, and implementing a change to address access to care issues.","The document's purpose is to increase telehealth appointments for patients who screen positive for transportation needs during their initial HRSN screening. This aligns with the criteria of Class 2, which involves screening members served by the practice annually using an evidence-based, standardized HRSN screening tool."
111879618,HRSN Screening,"Screens members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains.","The given document describes a project charter for screening Health-Related Social Needs, which aligns with Class 2's criteria of screening and documenting results in the EHR.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document mentions ""Streamlining the internal processes for documentation of HRSN screening to include PREPARE and G/Z codes"", which indicates a focus on HRSN screening."
111879618,HRSN Screening,"Screens members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains.","The given document describes a project charter for screening Health-Related Social Needs, which aligns with Class 2's criteria of screening and documenting results in the EHR.",Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria for Class 4.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for pediatrics, indicating an effort to recognize and document unmet health-related social needs."
111879618,HRSN Screening,"Screens members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains.","The given document describes a project charter for screening Health-Related Social Needs, which aligns with Class 2's criteria of screening and documenting results in the EHR.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool is mentioned in the document.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for justice enrolled patients, which involves screening and documenting HRSN. The expected results from the project will be increased compliance in justice enrolled patients receiving HRSN screening, documentation, and G/Z diagnosis code capture."
111879618,HRSN Screening,The document describes screening processes for health-related social needs.,"This document mentions annual screening using an evidence-based, standardized HRSN screening tool and documenting screening results in the member’s Electronic Health Record (EHR) and claims.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document mentions ""Streamlining the internal processes for documentation of HRSN screening to include PREPARE and G/Z codes"", which indicates a focus on HRSN screening."
111879618,HRSN Screening,The document describes screening processes for health-related social needs.,"This document mentions annual screening using an evidence-based, standardized HRSN screening tool and documenting screening results in the member’s Electronic Health Record (EHR) and claims.",Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria for Class 4.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for pediatrics, indicating an effort to recognize and document unmet health-related social needs."
111879618,HRSN Screening,The document describes screening processes for health-related social needs.,"This document mentions annual screening using an evidence-based, standardized HRSN screening tool and documenting screening results in the member’s Electronic Health Record (EHR) and claims.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool is mentioned in the document.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for justice enrolled patients, which involves screening and documenting HRSN. The expected results from the project will be increased compliance in justice enrolled patients receiving HRSN screening, documentation, and G/Z diagnosis code capture."
111879618,HRSN Screening,Mentions standardized screening processes for patient needs,"The document discusses streamlining the processes for HRSN screening, which aligns with the criteria of Class 2 that requires mentioning standardized screening processes for patient needs.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document mentions ""Streamlining the internal processes for documentation of HRSN screening to include PREPARE and G/Z codes"", which indicates a focus on HRSN screening."
111879618,HRSN Screening,Mentions standardized screening processes for patient needs,"The document discusses streamlining the processes for HRSN screening, which aligns with the criteria of Class 2 that requires mentioning standardized screening processes for patient needs.",Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria for Class 4.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for pediatrics, indicating an effort to recognize and document unmet health-related social needs."
111879618,HRSN Screening,Mentions standardized screening processes for patient needs,"The document discusses streamlining the processes for HRSN screening, which aligns with the criteria of Class 2 that requires mentioning standardized screening processes for patient needs.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool is mentioned in the document.","The project seeks to identify current HRSN documentation practices implemented by clinicians and medical teams caring for justice enrolled patients, which involves screening and documenting HRSN. The expected results from the project will be increased compliance in justice enrolled patients receiving HRSN screening, documentation, and G/Z diagnosis code capture."
111914550,,No relevant class found,"The document is about screening caregivers for anxiety and depression after childbirth, but none of the provided classes match this topic. The closest class would be 'Identify HRSNs' (Class 4) if it was focused on identifying unmet health-related social needs in postpartum patients, but it's actually about caregivers.",Others,Document does not match any given class criteria.,"The document discusses a project charter for screening and addressing Health-Related Social Needs, but it does not specifically mention any of the criteria from the given classes."
111914564,HRSN Screening,"Based on the keywords 'Health-Related Social Needs screening' and 'evidence-based screening tool', I determined that this document belongs to Class 2.","The document mentions the implementation of a comprehensive HRSN screening tool, which matches one of the criteria for Class 2. Additionally, it discusses connecting patients to resources through community-based organizations, aligning with the themes present in Class 2.",HRSN Screening,Mentions HRSN screening tool and its effectiveness in identifying barriers.,"The given document discusses the implementation and utilization of a comprehensive Health-Related Social Needs screening tool, which matches the criteria for Class 2: HRSN Screening. The document also mentions the importance of screening for HRSNs to identify barriers that can contribute to decreased health outcomes and increased chronic diseases."
111914617,HRSN Screening,Mentions standardized screening processes for patient needs and utilization of Z codes,"The document describes the current lack of HRSN screenings and referrals, and aims to implement the Patient Centered Assessment Tool (PCAM) and Z codes for accurate data and community referrals. This aligns with the criteria for Class 2: HRSN Screening.",,No matching criteria found,"The given document discusses health literacy workshops, appointment scheduling, and addressing health-related social needs. However, none of the provided classes directly relate to this topic."
111914617,HRSN Screening,Mentions standardized screening processes for patient needs and utilization of Z codes,"The document describes the current lack of HRSN screenings and referrals, and aims to implement the Patient Centered Assessment Tool (PCAM) and Z codes for accurate data and community referrals. This aligns with the criteria for Class 2: HRSN Screening.",Others,No relevant class found,None of the given criteria match with the content of the document.
111914617,HRSN Screening,"The document discusses HRSN screening, diagnosis, and referral processes.","The text mentions the implementation of an HRSN screening process, including completing the screening, assigning a diagnosis, and making need referrals for services. It also talks about increasing the consistent completion of the Patient Centered Assessment Method (PCAM) and using Z codes when appropriate.",,No matching criteria found,"The given document discusses health literacy workshops, appointment scheduling, and addressing health-related social needs. However, none of the provided classes directly relate to this topic."
111914617,HRSN Screening,"The document discusses HRSN screening, diagnosis, and referral processes.","The text mentions the implementation of an HRSN screening process, including completing the screening, assigning a diagnosis, and making need referrals for services. It also talks about increasing the consistent completion of the Patient Centered Assessment Method (PCAM) and using Z codes when appropriate.",Others,No relevant class found,None of the given criteria match with the content of the document.
111914695,Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned.,"Although not explicitly stated, the project's purpose is to address health-related social needs through implementation of the Unite US platform, which implies a referral integration process. Additionally, the Project Charter mentions 'Health related social needs' as a milestone for TIP 2.0, further supporting the classification under Closed-Loop Referral System.",,No relevant class found,"The document discusses a project charter for implementing the Unite US platform to address social and economic needs, but none of the provided classes match this topic."
111916876,HRSN Screening,The document discusses implementing a process for screening health-related social needs (HRSN),"The document mentions 'PRAPARE screening was implemented and performed on paper' which indicates a process related to HRSN screening. Although it does not specifically mention the domains mentioned in Class 2, the overall context suggests a focus on screening health-related social needs.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The given document describes the optimization of utilization of the CommunityCares closed loop referral system within the organization, which aligns with the criteria for Class 3: Closed-Loop Referral System."
111916876,HRSN Screening,The document discusses implementing a process for screening health-related social needs (HRSN),"The document mentions 'PRAPARE screening was implemented and performed on paper' which indicates a process related to HRSN screening. Although it does not specifically mention the domains mentioned in Class 2, the overall context suggests a focus on screening health-related social needs.",Class 3: Closed-Loop Referral System,The document mentions the statewide closed loop referral system and aims to optimize its utilization within the organization.,"The project description and purpose explicitly state that the primary goal is to 'demonstrate effective use' of the statewide closed loop referral system, indicating a focus on this process. Additionally, it aims to address current inefficiencies in referral workflows, which aligns with the criteria for Class 3."
111916876,Closed-Loop Referral System,Referral processes between healthcare providers and social services are mentioned.,"Although not explicitly stated, the context implies a system that streamlines referrals for patients reentering the community from jail, which is characteristic of Closed-Loop Referral Systems.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The given document describes the optimization of utilization of the CommunityCares closed loop referral system within the organization, which aligns with the criteria for Class 3: Closed-Loop Referral System."
111916876,Closed-Loop Referral System,Referral processes between healthcare providers and social services are mentioned.,"Although not explicitly stated, the context implies a system that streamlines referrals for patients reentering the community from jail, which is characteristic of Closed-Loop Referral Systems.",Class 3: Closed-Loop Referral System,The document mentions the statewide closed loop referral system and aims to optimize its utilization within the organization.,"The project description and purpose explicitly state that the primary goal is to 'demonstrate effective use' of the statewide closed loop referral system, indicating a focus on this process. Additionally, it aims to address current inefficiencies in referral workflows, which aligns with the criteria for Class 3."
111919565,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool and connecting them with CBOs to address individual social needs.",The document describes implementing a process for screening for health-related social needs (HRSN) and connecting members seen to CBOs to address individual social needs. It also mentions the purpose of this project is to increase HRSN screen completion above a sustainable 85%.,CLAS Standards,Mentions CLAS Standards in the project description,"The document mentions 'HRSN & CLAS/NCQA' and 'advancing milestones related to HRSN and CLAS', indicating a focus on CLAS standards."
111919565,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool and connecting them with CBOs to address individual social needs.",The document describes implementing a process for screening for health-related social needs (HRSN) and connecting members seen to CBOs to address individual social needs. It also mentions the purpose of this project is to increase HRSN screen completion above a sustainable 85%.,CLAS Standards,Mentions CLAS and HRSN related milestones in the project description.,"The document mentions 'HRSN & CLAS/NCQA' as a milestone for the project, which indicates that it is related to the CLAS standards. The document also talks about promoting patient engagement to address identified HRSNs, which aligns with one of the criteria for Class 1."
111919565,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains: housing instability, utility assistance, food insecurity, transportation needs, interpersonal safety, social isolation/support, employment, and justice involvement.","The document describes a process for implementing HRSN screens through Holon Vibe, a proprietary member-centered application, to identify members' social needs and connect them with CBO resources.",CLAS Standards,Mentions CLAS Standards in the project description,"The document mentions 'HRSN & CLAS/NCQA' and 'advancing milestones related to HRSN and CLAS', indicating a focus on CLAS standards."
111919565,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains: housing instability, utility assistance, food insecurity, transportation needs, interpersonal safety, social isolation/support, employment, and justice involvement.","The document describes a process for implementing HRSN screens through Holon Vibe, a proprietary member-centered application, to identify members' social needs and connect them with CBO resources.",CLAS Standards,Mentions CLAS and HRSN related milestones in the project description.,"The document mentions 'HRSN & CLAS/NCQA' as a milestone for the project, which indicates that it is related to the CLAS standards. The document also talks about promoting patient engagement to address identified HRSNs, which aligns with one of the criteria for Class 1."
111920699,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains","The document discusses adopting a new HRSN screening protocol with evidence-based questionnaire, which matches the criteria for Class 2: HRSN Screening.",HRSN Screening,"The document discusses screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","It specifically mentions that Kingman Regional Medical Center does not currently utilize a single screening tool or clinical assessment in our primary care clinics that addresses each of the 8-domains specified in process requirement 1.1, which aligns with Class 2's criteria of Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool."
111921345,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The document mentions a process for screening patients to identify health-related social needs and connecting them with resources, which aligns with Class 2's criteria of screening members served using an evidence-based tool.",Others,No relevant class found in the given criteria for document.,The provided document does not contain any information that matches the criteria specified in Classes 1-6.
111921345,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The document mentions a process for screening patients to identify health-related social needs and connecting them with resources, which aligns with Class 2's criteria of screening members served using an evidence-based tool.",Others,No matching class criteria found,None of the given document's content matches any of the specified class criteria.
111921345,,No matching criteria found in any class,,Others,No relevant class found in the given criteria for document.,The provided document does not contain any information that matches the criteria specified in Classes 1-6.
111921345,,No matching criteria found in any class,,Others,No matching class criteria found,None of the given document's content matches any of the specified class criteria.
111921718,Closed-Loop Referral System,Mentions closed-loop referrals and standardizing assessment of referral needs and follow-up,"The document discusses the project's goal to increase the use of the CommunityCares /Unite Us platform for closed-loop referrals, which aligns with the criteria for Class 3.",None of the given classes,The document does not contain any specific criteria mentioned in the provided classes.,"The document is a project charter that discusses improving targeted screenings/referrals and discharge planning with community cares, but it does not specifically mention any of the criteria listed in the classes."
111922268,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","The document discusses the need to enhance the current process for HRSN screening and referral at the Child and Family Support Services (CFSS), which aligns with Class 2's criteria of screening members served by the practice annually.",CLAS Standards,Milestone TIP 2.0 related to culturally appropriate services,"The document mentions 'TIP 2.0 Process Milestone:  Milestone 2-Designing, implementing and improving programs that provide culturally appropriate services that meet the needs of attributed members.' which matches Class 1 criteria."
111922533,HRSN Screening,"The document discusses screening for social determinants of health needs and health access survey, which is relevant to the criteria of Class 2.","The document mentions screening for housing, transportation, access to fresh foods and vegetables, substance or alcohol abuse, which aligns with the domains required by Class 2. Additionally, it mentions documenting screening results in the member's Electronic Health Record (EHR) and claims.",Closed-Loop Referral System,"The document describes referral processes and tracking mechanisms, which matches the criteria for Class 3.","The given document mentions 'tracking and documenting referrals', 'referral system', and 'ensure referrals are being done In timely manner', which aligns with the description of a Closed-Loop Referral System in Class 3."
111922613,,None of the given classes match the document's content.,"The document discusses a project related to screening and referrals for social determinants of health, but it does not explicitly mention any specific class-related criteria such as HRSN Screening, Closed-Loop Referral System, etc.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations,"The document mentions identifying, screening, and supporting new caregivers which implies a referral process between healthcare providers and social services."
111922689,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","The given document mentions the importance of using the HRSN screening tool to identify an individual's unmet health-related social needs, which is a key criterion for Class 2.",Identify HRSNs,Mentions identifying patient needs,"The given document discusses the importance of screening patients for health-related social needs using the SDOH and HRSN tools, which is related to recognizing unmet health-related social needs, a key criterion of Class 4."
111923975,Others,Does not match any of the given criteria,"The document discusses a project charter for enhancing the collection of Health Related Social Needs (HRSN) data and submission of referrals, but it does not specifically mention screening tools, referral processes, identification of HRSNs, caregiver involvement, or postpartum depression screening. It also does not meet the criteria for Class 1 as there is no specific focus on completing an organizational evaluation of current practices and implementing CLAS Standards.",,No relevant class found,"The given document does not match any of the provided classes, as it discusses a project charter for integrating Health Related Social Needs (HRSN) data and submitting referrals, which is not directly related to any of the specified criteria."
111924709,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool",The given document mentions 'Health-Related Social Needs' screening process for patients in a medical office setting and aims to enhance patient health and well-being by addressing their health-related social needs effectively.,Others,No relevant class found,"The document discusses a project charter and process map for Health-Related Social Needs (HRSN) screening, but does not meet the specific criteria for any of the given classes. It mentions identifying and addressing health-related social needs among individuals, which is related to Class 4 'Identify HRSNs', but it does not discuss strategies for recognizing unmet health-related social needs or provide case examples or tools for identifying patient needs."
111924735,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document mentions 'Implement procedures to use a closed loop referral system' which aligns with the criteria of Class 3, Closed-Loop Referral System.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document mentions ""Completing HRSN Screenings and Submitting referrals through the Unite Us Referral Platform"", which implies a closed-loop referral system is being used to standardize HRSN referrals and coordination with community-based organization."
111931899,Others,No relevant class found,"The document discusses a project charter for closing the loop in healthcare delivery, including social determinants of health (SDOH) screening and community integration. None of the provided classes match this description.",Others,Document does not match any of the given classes criteria.,"The document is about a project charter for MSP Diversity & Inclusion, which discusses language and cultural barriers in healthcare. It doesn't mention anything related to the specific criteria of the other classes."
111941744,Others,No relevant class found,None of the given criteria match with the document content.,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document discusses annual screening of patients for health related social needs (HRSN), which aligns with Class 2: ""HRSN Screening"""
111941744,Others,No relevant class found,None of the given criteria match with the document content.,Others,No relevant class found,"The document does not match any of the provided classes. It appears to be a project charter for a pediatric dental varnish program, which does not relate to any of the specified categories."
111941744,,No relevant class found based on the given criteria.,"The document does not match any of the specified classes' criteria, so it is classified as 'Others'.",HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The given document discusses annual screening of patients for health related social needs (HRSN), which aligns with Class 2: ""HRSN Screening"""
111941744,,No relevant class found based on the given criteria.,"The document does not match any of the specified classes' criteria, so it is classified as 'Others'.",Others,No relevant class found,"The document does not match any of the provided classes. It appears to be a project charter for a pediatric dental varnish program, which does not relate to any of the specified categories."
111950799,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The document mentions setting up policies and procedures to introduce screening for all adult patients, which aligns with the criteria for Class 2: HRSN Screening.",Engaging Caregivers,"The document discusses screening caregivers/guardians of a newborn on anxiety and depression, which falls under the criteria for engaging caregivers.","The given document's purpose is to screen caregivers/guardians of a newborn on anxiety and depression, and it mentions setting up policies and procedures to educate and screen them. This aligns with the Engaging Caregivers class criteria, which include discussing caregiver involvement in patient care and decision-making, support programs for caregivers, and referencing policies or best practices for engaging caregivers."
111950799,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool","The document mentions setting up policies and procedures to introduce screening for all adult patients, which aligns with the criteria for Class 2: HRSN Screening.",Postpartum Depression Screening,Mentions screening for anxiety and depression in newborn caregivers and guardians.,"The document describes a project to screen caregivers/guardians of newborns on anxiety and depression during babies well child visit, which aligns with the criteria for Postpartum Depression Screening."
111950799,HRSN Screening,The document describes the process of screening for health-related social needs.,"Process Milestone: Implement a process for screening for health-related social needs in our pediatric population. This matches the criteria of Class 2, which requires describing processes to screen members served by the practice annually using an evidence-based, standardized HRSN screening tool.",Engaging Caregivers,"The document discusses screening caregivers/guardians of a newborn on anxiety and depression, which falls under the criteria for engaging caregivers.","The given document's purpose is to screen caregivers/guardians of a newborn on anxiety and depression, and it mentions setting up policies and procedures to educate and screen them. This aligns with the Engaging Caregivers class criteria, which include discussing caregiver involvement in patient care and decision-making, support programs for caregivers, and referencing policies or best practices for engaging caregivers."
111950799,HRSN Screening,The document describes the process of screening for health-related social needs.,"Process Milestone: Implement a process for screening for health-related social needs in our pediatric population. This matches the criteria of Class 2, which requires describing processes to screen members served by the practice annually using an evidence-based, standardized HRSN screening tool.",Postpartum Depression Screening,Mentions screening for anxiety and depression in newborn caregivers and guardians.,"The document describes a project to screen caregivers/guardians of newborns on anxiety and depression during babies well child visit, which aligns with the criteria for Postpartum Depression Screening."
111977883,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.","The document mentions 'health-related social needs screenings' and 'refer or connect those patients with identified risks to community providers/facilities', which aligns with the criteria for Class 2: HRSN Screening.",Closed-Loop Referral System,Mentions bidirectional communication and referral processes.,"The document mentions 'closed loop referrals' as the process, which directly aligns with the criteria for Class 3: Closed-Loop Referral System."
112015642,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"Although the document does not explicitly discuss tracking and follow-up mechanisms, it does describe a process for identifying health-related social needs and referring clients to appropriate support, which implies a closed-loop referral system.",None of the above,No matching criteria found in any given class,"While the document discusses improving linguistic needs and ensuring equitable care for diverse populations, it does not mention specific criteria such as completing an organizational evaluation, building a culturally diverse practice team, or using standardized screening tools. The content is focused on project management, training staff, hiring professionals, and leveraging technology to improve communication, which doesn't align with any of the provided classes."
112015706,Closed-Loop Referral System,The document discusses referral processes between healthcare providers and social services.,"The document mentions the need to 'close the loop' on referrals and documents them in the EHR, which aligns with the criteria for Class 3.",Others,Does not match any given criteria,"The document discusses updating service descriptions for a health clinic, but it does not mention anything related to the provided classes such as CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, Engaging Caregivers, or Postpartum Depression Screening."
112015706,Closed-Loop Referral System,The document discusses referral processes between healthcare providers and social services.,"The document mentions the need to 'close the loop' on referrals and documents them in the EHR, which aligns with the criteria for Class 3.",Closed-Loop Referral System,Discusses referral processes and matching patient needs.,"The document outlines a process for identifying health-related social needs in youth participants using Resilient Health EHR reports, and ensuring that external referrals are provided via the UniteUs platform to match those needs. This aligns with the criteria for Class 3: Closed-Loop Referral System."
112015706,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions the process of sending referrals via UniteUs platform to address these needs.,"This matches with Class 4 criteria 'Discusses strategies for recognizing unmet health-related social needs' as it talks about identifying HRSNs, screening, and addressing them through external referral.",Others,Does not match any given criteria,"The document discusses updating service descriptions for a health clinic, but it does not mention anything related to the provided classes such as CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, Engaging Caregivers, or Postpartum Depression Screening."
112015706,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions the process of sending referrals via UniteUs platform to address these needs.,"This matches with Class 4 criteria 'Discusses strategies for recognizing unmet health-related social needs' as it talks about identifying HRSNs, screening, and addressing them through external referral.",Closed-Loop Referral System,Discusses referral processes and matching patient needs.,"The document outlines a process for identifying health-related social needs in youth participants using Resilient Health EHR reports, and ensuring that external referrals are provided via the UniteUs platform to match those needs. This aligns with the criteria for Class 3: Closed-Loop Referral System."
112015755,Others,None of the given criteria match this document.,"The document discusses a project charter for collecting and maintaining patient-reported demographic data, which does not align with any of the provided classes' criteria.",No matching class found,No relevant class criteria found in the given document,"The document describes a project charter for implementing a new scheduling strategy to improve appointment availability and flexibility for adult mental health patients, but it does not match any of the provided class criteria. The focus is on improving access to care and reducing wait times, which are related to social determinants of health, but no specific screening, referral, or engagement processes are mentioned."
112015755,Others,None of the given criteria match this document.,"The document discusses a project charter for collecting and maintaining patient-reported demographic data, which does not align with any of the provided classes' criteria.",,No matching criteria found in the given classes,"The document discusses a project charter for increasing telehealth appointments among youth with public insurance, but it does not explicitly mention any of the specific criteria outlined in the given classes."
112015755,Closed-Loop Referral System,Describes referral processes between healthcare providers and social services.,"The given document describes the CommunityCares platform as a closed-loop referral system, which matches the criteria for Class 3. It mentions utilizing the platform for screenings/referrals and transitioning staff to actively use it, indicating bidirectional communication between providers and organizations.",No matching class found,No relevant class criteria found in the given document,"The document describes a project charter for implementing a new scheduling strategy to improve appointment availability and flexibility for adult mental health patients, but it does not match any of the provided class criteria. The focus is on improving access to care and reducing wait times, which are related to social determinants of health, but no specific screening, referral, or engagement processes are mentioned."
112015755,Closed-Loop Referral System,Describes referral processes between healthcare providers and social services.,"The given document describes the CommunityCares platform as a closed-loop referral system, which matches the criteria for Class 3. It mentions utilizing the platform for screenings/referrals and transitioning staff to actively use it, indicating bidirectional communication between providers and organizations.",,No matching criteria found in the given classes,"The document discusses a project charter for increasing telehealth appointments among youth with public insurance, but it does not explicitly mention any of the specific criteria outlined in the given classes."
112016202,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.",The document mentions refinement and enhancement of Intermountain Centers & Affiliates existing HRSN screening activity.,Identify HRSNs,Discusses strategies for recognizing unmet health-related social needs.,"The document mentions implementing the PRAPARE screening to collect SDOH data and facilitate referrals, which aligns with identifying health-related social needs."
112016202,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.",The document mentions refinement and enhancement of Intermountain Centers & Affiliates existing HRSN screening activity.,CLAS Standards,Mentioning CLAS Standards and equitable access to services,"The document mentions assessing English language proficiency among members and ensuring equitable access to services, which aligns with the criteria for Class 1: CLAS Standards. The document also mentions improving communication strategies and enhancing compliance with CLAS Standards."
112016202,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool.",The document mentions refinement and enhancement of Intermountain Centers & Affiliates existing HRSN screening activity.,Others,No relevant class found matching the given document.,"The document discusses a project charter for tobacco cessation documentation and treatment support, but none of the provided classes match its content, which focuses on process improvement, standardization, and evidence-based interventions."
